WEDNESDAY,,,,,,,,,
Slots,1,2,3,4,5,6,7,8,9
Academic Block II DS LAB-6 (52),,"CS4048-Data Sci. BCS-6B  (F,G,H,J)
Dr. Rabia Tabassum","CS4048-Data Sci. BCS-6A (A - E)
Dr. Rabia Tabassum","AF Lab  BSFT-2C
 Nighat Suleman",,,"CL2006-OS Lab BSE-4B
Khadija tul kubra",,
Academic Block II LAB-7 (45),"CL2005-DBS Lab BSE-4A
Kinza Mushtaq",,,"AL2002-AI Lab BCS-6C
Abdullah Yaqoob",,,"AL2002-AI Lab BCS-6J
AbdullahYaqoob",,
Academic Block II CY LAB-8 (49),PF BSCE-2A                                                                               Dr. Shahbaz Siddiqui,PF BSCE-2A                                                                               Dr. Shahbaz Siddiqui,PF BSCE-2A                                                                               Dr. Shahbaz Siddiqui,EBD Lab BSEE-6AB                                                                                                                                                                                      Engr. Zohaib,,,PF BSCE-2B                                                Dr. Shahbaz Siddiqui,PF BSCE-2B                                                Dr. Shahbaz Siddiqui,
Academic Block II AI/ML LAB-9 (47),"CL1002-PF Lab BCS-4B
Sheeraz Iqbal",,,"AL2002-AI Lab BCS-4J
Gule Zahra",,,"YL4001-SSD BCY-6B
Amna Aslam",,
Academic Block II LAB-10 (44),,,,,,,,,
Academic Block II LAB-11 (46),,,,,,,,,
Academic Block II Lab-12 (47),,,,,,,"AL2002-AI Lab BCS-6A
Abdullah Shaikh",,
Academic Block II Lab-13 (47),,,,,,,,,
Academic Block II Lab-14 (43),,,,,,,,,
ENGINEERING LABS,,,,,,,,,
Academic Block II Microprocessor and Interfacing Lab,DLD Lab BSEE-4B                                                                                                                                                                                      Engr. Rukhsar Ali,,,DLD Lab BSEE-4A                                                                                                                                                                                      Dr. Hina Gohar,,,DLD Lab BSEE-4C                                                                                                                                                                                      Engr. Rukhsar Ali,,
Academic Block II Electronics Lab,,,,,,,,,
Academic Block II Engineering Workshop Lab,,,,,,,,,
Academic Block II Electromechanical Systems Lab,,,,,,,,,
Academic Block II Power Lab,,,,,,,,,
Academic Block II Physics Lab,,,,,,,,,
